Feature,Importance
Recency,0.19720943
Freq_per_Tenure,0.14898413
PurchaseVelocity,0.110636465
Lifetime_Frequency,0.06656645
Monetary_per_Recency,0.06048988
Recency_Tenure_Ratio,0.053124808
Std_Days_Between,0.052361727
Max_Days_Between,0.036686715
Latency_Multiplier,0.0324628
Avg_Days_Between,0.03225183
TenureDays,0.027197376
Recency_x_Latency,0.025690924
Total_Items_Bought,0.021115249
Cancel_Count,0.020034125
Weighted_CancelRate,0.018971795
Lifetime_Monetary,0.01850667
ItemsPerOrder,0.017028179
AOV_x_Velocity,0.016787095
AvgOrderValue,0.01567737
CancelRate,0.014687998
RevenueVelocity,0.013528953
Num_Countries,0.0
